Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
EfficientNet,1,0,0.3230,2.8469,1.6486,0.5198
EfficientNet,1,1,0.6875,1.0947,0.8485,0.7578
EfficientNet,1,2,0.8196,0.6165,0.5846,0.8242
EfficientNet,1,3,0.9280,0.2804,0.1336,0.9663
EfficientNet,1,4,0.9760,0.1257,0.0958,0.9775
EfficientNet,1,5,0.9784,0.0962,0.0693,0.9840
EfficientNet,1,6,0.9839,0.0788,0.0642,0.9846
EfficientNet,1,7,0.9852,0.0782,0.0631,0.9822
EfficientNet,1,8,0.9870,0.0696,0.0608,0.9852
EfficientNet,1,9,0.9893,0.0629,0.0610,0.9846
EfficientNet,2,0,0.2911,2.9918,1.9101,0.4885
EfficientNet,2,1,0.6567,1.1997,0.8864,0.7430
EfficientNet,2,2,0.8047,0.6609,0.5494,0.8259
EfficientNet,2,3,0.9199,0.2980,0.1554,0.9603
EfficientNet,2,4,0.9674,0.1453,0.1047,0.9745
EfficientNet,2,5,0.9762,0.1095,0.0776,0.9828
EfficientNet,2,6,0.9788,0.0954,0.0746,0.9852
EfficientNet,2,7,0.9845,0.0797,0.0721,0.9834
EfficientNet,2,8,0.9827,0.0827,0.0684,0.9834
EfficientNet,2,9,0.9842,0.0796,0.0667,0.9858
EfficientNet,3,0,0.3137,2.8652,1.6996,0.5237
EfficientNet,3,1,0.6836,1.1041,1.1442,0.7073
EfficientNet,3,2,0.8059,0.6496,0.4146,0.8874
EfficientNet,3,3,0.9285,0.2570,0.1373,0.9692
EfficientNet,3,4,0.9713,0.1330,0.0898,0.9799
EfficientNet,3,5,0.9772,0.1002,0.0720,0.9858
EfficientNet,3,6,0.9834,0.0811,0.0669,0.9864
EfficientNet,3,7,0.9845,0.0770,0.0665,0.9893
EfficientNet,3,8,0.9858,0.0717,0.0620,0.9917
EfficientNet,3,9,0.9880,0.0710,0.0617,0.9899
EfficientNet,4,0,0.2942,2.9213,1.8636,0.4799
EfficientNet,4,1,0.6535,1.2067,1.0211,0.6896
EfficientNet,4,2,0.7943,0.6752,0.4759,0.8596
EfficientNet,4,3,0.9172,0.2963,0.1374,0.9656
EfficientNet,4,4,0.9679,0.1477,0.0946,0.9793
EfficientNet,4,5,0.9760,0.1131,0.0817,0.9799
EfficientNet,4,6,0.9812,0.0919,0.0781,0.9799
EfficientNet,4,7,0.9793,0.0917,0.0724,0.9810
EfficientNet,4,8,0.9785,0.0900,0.0712,0.9810
EfficientNet,4,9,0.9843,0.0791,0.0708,0.9805
EfficientNet,5,0,0.3054,2.8977,1.7071,0.5154
EfficientNet,5,1,0.6710,1.1385,0.9864,0.7062
EfficientNet,5,2,0.8154,0.6286,0.6322,0.8169
EfficientNet,5,3,0.9260,0.2796,0.1228,0.9751
EfficientNet,5,4,0.9701,0.1395,0.0848,0.9781
EfficientNet,5,5,0.9738,0.1062,0.0664,0.9840
EfficientNet,5,6,0.9790,0.0888,0.0626,0.9846
EfficientNet,5,7,0.9868,0.0756,0.0597,0.9852
EfficientNet,5,8,0.9840,0.0782,0.0562,0.9864
EfficientNet,5,9,0.9849,0.0745,0.0579,0.9864
