,precision,recall,f1-score,support
Acremonium,0.9745762711864406,1.0,0.9871244635193133,115.0
Acremonium_alternatum,1.0,0.9217391304347826,0.9592760180995475,115.0
Acremonium_strictum,1.0,1.0,1.0,116.0
Alternaria,0.9913793103448276,1.0,0.9956709956709957,115.0
Arthrinium_phaeospermum,0.9504132231404959,1.0,0.9745762711864406,115.0
Ascospirella_lutea,0.7419354838709677,1.0,0.8518518518518519,115.0
Aspergillus,0.9829059829059829,1.0,0.9913793103448276,115.0
Aspergillus_aculeatinus,1.0,1.0,1.0,106.0
Aspergillus_arachidicola,1.0,1.0,1.0,115.0
Aspergillus_calidoustus,1.0,0.9051724137931034,0.9502262443438914,116.0
Aspergillus_creber,1.0,1.0,1.0,115.0
Aspergillus_flavus,1.0,0.9956521739130435,0.9978213507625272,230.0
Aspergillus_lentulus,0.9797979797979798,1.0,0.9897959183673469,97.0
Aspergillus_minisclerotigenes,1.0,1.0,1.0,116.0
Aspergillus_montevidensis,1.0,1.0,1.0,115.0
Aspergillus_neoglaber,1.0,1.0,1.0,115.0
Aspergillus_nomiae,1.0,1.0,1.0,115.0
Aspergillus_occultus,1.0,1.0,1.0,115.0
Aspergillus_pseudonomiae,0.9911504424778761,0.9911504424778761,0.9911504424778761,113.0
Aspergillus_puniceus,1.0,1.0,1.0,115.0
Aspergillus_thermomutatus,1.0,1.0,1.0,97.0
Aspergillus_ustus,1.0,1.0,1.0,106.0
Aspergillus_uvarum,1.0,1.0,1.0,285.0
Aspergillus_wentii,0.9051724137931034,1.0,0.9502262443438914,105.0
Asteromyces_cruciatus,0.9532710280373832,0.8793103448275862,0.9147982062780269,116.0
Aureobasidium_melanogenum,1.0,1.0,1.0,115.0
Aureobasidium_pullulans,1.0,0.808695652173913,0.8942307692307693,115.0
Byssochlamys_spectabilis,0.7466666666666667,0.9739130434782609,0.8452830188679246,115.0
Cladosporium,1.0,1.0,1.0,231.0
Cladosporium_delicatulum,1.0,1.0,1.0,115.0
Cladosporium_tenuissimum,1.0,1.0,1.0,115.0
Cladosporium_varians,1.0,0.7739130434782608,0.8725490196078431,115.0
Drechslera,0.7142857142857143,1.0,0.8333333333333334,115.0
Epicoccum_nigrum,0.9203187250996016,1.0,0.9585062240663901,231.0
Fusarium_acuminatum,0.9349593495934959,1.0,0.9663865546218487,115.0
Fusarium_chlamydosporum,1.0,1.0,1.0,115.0
Fusarium_equiseti,0.9504132231404959,1.0,0.9745762711864406,115.0
Fusarium_foetens,0.9354838709677419,1.0,0.9666666666666667,116.0
Fusarium_tricinctum,0.9627906976744186,0.9,0.9303370786516854,230.0
Hamigera_avellanea,1.0,1.0,1.0,115.0
Hamigera_avellanea var. alba,1.0,1.0,1.0,115.0
Hypocrea_pulvinata,1.0,0.9782608695652174,0.989010989010989,230.0
Hypocrea_sulphurea,1.0,1.0,1.0,115.0
Hypocrea_thelephoricola,0.7872340425531915,0.9568965517241379,0.8638132295719845,116.0
Mariannaea_elegans,1.0,1.0,1.0,115.0
Microdochium_nivale,1.0,1.0,1.0,115.0
Monascus_ruber,1.0,1.0,1.0,115.0
Monilinia_fructigena,0.990909090909091,0.9478260869565217,0.9688888888888889,115.0
Nigrospora_oryzae,0.9968944099378882,0.9277456647398844,0.9610778443113772,346.0
Paecilomyces_maximus,1.0,0.8561151079136691,0.9224806201550387,278.0
Penicillago_kabunica,1.0,0.991304347826087,0.9956331877729258,115.0
Penicilliopsis_zonata,0.92,1.0,0.9583333333333334,115.0
Penicillium restrictum,0.6129032258064516,0.9827586206896551,0.7549668874172185,116.0
Penicillium_allii-sativi,1.0,0.991304347826087,0.9956331877729258,115.0
Penicillium_antarcticum,1.0,1.0,1.0,106.0
Penicillium_arizonense,0.967391304347826,1.0,0.9834254143646409,89.0
Penicillium_atramentosum,0.8582089552238806,1.0,0.9236947791164659,115.0
Penicillium_brasilianum,1.0,0.991304347826087,0.9956331877729258,115.0
Penicillium_camponotum,1.0,1.0,1.0,106.0
Penicillium_canescens,0.9956140350877193,0.9826839826839827,0.9891067538126361,231.0
Penicillium_caseifulvum,1.0,0.8125,0.896551724137931,64.0
Penicillium_chrysogenum,1.0,1.0,1.0,116.0
Penicillium_citrinum,1.0,1.0,1.0,115.0
Penicillium_coprobium,0.9782608695652174,0.6818181818181818,0.8035714285714286,66.0
Penicillium_croceum,0.9745762711864406,1.0,0.9871244635193133,115.0
Penicillium_damascenum,1.0,1.0,1.0,115.0
Penicillium_fagi,0.9944444444444445,1.0,0.9972144846796658,179.0
Penicillium_flavigenum,1.0,0.9652173913043478,0.9823008849557522,115.0
Penicillium_frequentans,1.0,0.9846153846153847,0.9922480620155039,65.0
Penicillium_glabrum,0.9848484848484849,1.0,0.9923664122137404,195.0
