Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
EfficientNet,1,0,0.8389,0.6056,0.0882,0.9792
EfficientNet,1,1,0.9769,0.0846,0.0373,0.9898
EfficientNet,1,2,0.9854,0.0536,0.0279,0.9921
EfficientNet,1,3,0.9981,0.0077,0.0002,1.0000
EfficientNet,1,4,0.9996,0.0024,0.0002,1.0000
EfficientNet,1,5,0.9995,0.0022,0.0001,1.0000
EfficientNet,1,6,0.9999,0.0011,0.0001,1.0000
EfficientNet,1,7,0.9999,0.0010,0.0001,1.0000
EfficientNet,1,8,0.9998,0.0010,0.0001,1.0000
EfficientNet,1,9,0.9998,0.0011,0.0001,1.0000
EfficientNet,2,0,0.8390,0.6234,0.2268,0.9274
EfficientNet,2,1,0.9760,0.0955,0.0571,0.9847
EfficientNet,2,2,0.9843,0.0672,0.0661,0.9838
EfficientNet,2,3,0.9981,0.0171,0.0013,0.9998
EfficientNet,2,4,0.9993,0.0110,0.0012,0.9998
EfficientNet,2,5,0.9997,0.0114,0.0011,0.9999
EfficientNet,2,6,0.9996,0.0070,0.0010,0.9999
EfficientNet,2,7,0.9996,0.0096,0.0009,0.9999
EfficientNet,2,8,0.9998,0.0118,0.0011,0.9999
EfficientNet,2,9,0.9997,0.0107,0.0011,0.9999
EfficientNet,3,0,0.8363,0.6315,0.1146,0.9703
EfficientNet,3,1,0.9749,0.0986,0.0792,0.9801
EfficientNet,3,2,0.9833,0.0691,0.0541,0.9836
EfficientNet,3,3,0.9975,0.0200,0.0005,1.0000
EfficientNet,3,4,0.9993,0.0124,0.0003,1.0000
EfficientNet,3,5,0.9995,0.0099,0.0003,1.0000
EfficientNet,3,6,0.9996,0.0085,0.0002,1.0000
EfficientNet,3,7,0.9997,0.0080,0.0002,1.0000
EfficientNet,3,8,0.9998,0.0111,0.0002,1.0000
EfficientNet,3,9,0.9997,0.0101,0.0002,1.0000
EfficientNet,4,0,0.8403,0.6139,0.1282,0.9599
EfficientNet,4,1,0.9759,0.0960,0.0621,0.9844
EfficientNet,4,2,0.9827,0.0752,0.0856,0.9824
EfficientNet,4,3,0.9979,0.0173,0.0006,1.0000
EfficientNet,4,4,0.9994,0.0123,0.0002,1.0000
EfficientNet,4,5,0.9996,0.0107,0.0003,1.0000
EfficientNet,4,6,0.9996,0.0145,0.0002,1.0000
EfficientNet,4,7,0.9997,0.0093,0.0002,1.0000
EfficientNet,4,8,0.9997,0.0093,0.0002,1.0000
EfficientNet,4,9,0.9997,0.0122,0.0002,0.9999
EfficientNet,5,0,0.8380,0.6277,0.1124,0.9680
EfficientNet,5,1,0.9750,0.0965,0.0296,0.9912
EfficientNet,5,2,0.9837,0.0686,0.0885,0.9768
EfficientNet,5,3,0.9978,0.0187,0.0010,0.9999
EfficientNet,5,4,0.9994,0.0113,0.0009,0.9999
EfficientNet,5,5,0.9996,0.0091,0.0009,0.9999
EfficientNet,5,6,0.9997,0.0121,0.0009,0.9999
EfficientNet,5,7,0.9997,0.0123,0.0009,0.9999
EfficientNet,5,8,0.9997,0.0111,0.0009,0.9999
EfficientNet,5,9,0.9998,0.0127,0.0009,0.9999
