Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
EfficientNet,1,0,0.7251,1.0549,0.2010,0.9436
EfficientNet,1,1,0.9487,0.1812,0.1657,0.9568
EfficientNet,1,2,0.9772,0.0876,0.0373,0.9895
EfficientNet,1,3,0.9959,0.0190,0.0021,0.9998
EfficientNet,1,4,0.9989,0.0064,0.0012,0.9999
EfficientNet,1,5,0.9993,0.0042,0.0012,0.9999
EfficientNet,1,6,0.9992,0.0043,0.0012,0.9999
EfficientNet,1,7,0.9993,0.0034,0.0011,0.9999
EfficientNet,1,8,0.9993,0.0038,0.0011,0.9999
EfficientNet,1,9,0.9993,0.0036,0.0013,0.9999
EfficientNet,2,0,0.7133,1.0989,0.3313,0.9021
EfficientNet,2,1,0.9504,0.1730,0.1238,0.9701
EfficientNet,2,2,0.9720,0.0995,0.0699,0.9800
EfficientNet,2,3,0.9951,0.0212,0.0009,1.0000
EfficientNet,2,4,0.9988,0.0068,0.0006,1.0000
EfficientNet,2,5,0.9987,0.0061,0.0007,0.9999
EfficientNet,2,6,0.9991,0.0037,0.0005,1.0000
EfficientNet,2,7,0.9993,0.0037,0.0004,1.0000
EfficientNet,2,8,0.9994,0.0034,0.0004,1.0000
EfficientNet,2,9,0.9993,0.0035,0.0003,1.0000
EfficientNet,3,0,0.7235,1.0659,0.2439,0.9318
EfficientNet,3,1,0.9517,0.1709,0.0704,0.9789
EfficientNet,3,2,0.9773,0.0831,0.0625,0.9864
EfficientNet,3,3,0.9948,0.0196,0.0022,0.9996
EfficientNet,3,4,0.9988,0.0060,0.0008,1.0000
EfficientNet,3,5,0.9993,0.0045,0.0012,0.9996
EfficientNet,3,6,0.9992,0.0038,0.0008,0.9996
EfficientNet,3,7,0.9995,0.0031,0.0007,0.9998
EfficientNet,3,8,0.9995,0.0031,0.0007,0.9998
EfficientNet,3,9,0.9994,0.0031,0.0005,0.9999
EfficientNet,4,0,0.7317,1.0289,0.2162,0.9301
EfficientNet,4,1,0.9527,0.1629,0.0700,0.9783
EfficientNet,4,2,0.9749,0.0926,0.1100,0.9674
EfficientNet,4,3,0.9955,0.0200,0.0011,1.0000
EfficientNet,4,4,0.9986,0.0067,0.0006,1.0000
EfficientNet,4,5,0.9990,0.0050,0.0004,1.0000
EfficientNet,4,6,0.9993,0.0041,0.0004,1.0000
EfficientNet,4,7,0.9993,0.0038,0.0003,1.0000
EfficientNet,4,8,0.9994,0.0036,0.0003,1.0000
EfficientNet,4,9,0.9996,0.0031,0.0003,1.0000
EfficientNet,5,0,0.7261,1.0470,0.2472,0.9252
EfficientNet,5,1,0.9501,0.1774,0.1746,0.9617
EfficientNet,5,2,0.9707,0.1053,0.0422,0.9890
EfficientNet,5,3,0.9952,0.0175,0.0012,0.9998
EfficientNet,5,4,0.9987,0.0067,0.0005,1.0000
EfficientNet,5,5,0.9994,0.0040,0.0004,1.0000
EfficientNet,5,6,0.9994,0.0034,0.0003,1.0000
EfficientNet,5,7,0.9992,0.0039,0.0003,1.0000
EfficientNet,5,8,0.9994,0.0033,0.0003,1.0000
EfficientNet,5,9,0.9994,0.0031,0.0003,1.0000
