,precision,recall,f1-score,support
Acremonium,0.9090909090909091,0.8771929824561403,0.8928571428571429,57.0
Acremonium_alternatum,1.0,0.8793103448275862,0.9357798165137615,58.0
Acremonium_strictum,0.8208955223880597,0.9649122807017544,0.8870967741935484,57.0
Alternaria,0.8688524590163934,0.9137931034482759,0.8907563025210085,58.0
Arthrinium_phaeospermum,0.90625,1.0,0.9508196721311475,58.0
Ascospirella_lutea,0.7741935483870968,0.8421052631578947,0.8067226890756303,57.0
Aspergillus,1.0,0.9827586206896551,0.991304347826087,58.0
Aspergillus_aculeatinus,0.7066666666666667,1.0,0.828125,53.0
Aspergillus_arachidicola,1.0,1.0,1.0,58.0
Aspergillus_calidoustus,0.796875,0.8947368421052632,0.8429752066115702,57.0
Aspergillus_creber,1.0,1.0,1.0,58.0
Aspergillus_flavus,1.0,0.9217391304347826,0.9592760180995475,115.0
Aspergillus_lentulus,0.8448275862068966,1.0,0.9158878504672897,49.0
Aspergillus_minisclerotigenes,1.0,1.0,1.0,58.0
Aspergillus_montevidensis,1.0,0.8771929824561403,0.9345794392523364,57.0
Aspergillus_neoglaber,0.8235294117647058,0.9655172413793104,0.8888888888888888,58.0
Aspergillus_nomiae,0.9827586206896551,1.0,0.991304347826087,57.0
Aspergillus_occultus,1.0,1.0,1.0,58.0
Aspergillus_pseudonomiae,0.9821428571428571,0.9821428571428571,0.9821428571428571,56.0
Aspergillus_puniceus,0.7631578947368421,1.0,0.8656716417910447,58.0
Aspergillus_thermomutatus,1.0,1.0,1.0,48.0
Aspergillus_ustus,1.0,1.0,1.0,54.0
Aspergillus_uvarum,1.0,0.9370629370629371,0.9675090252707581,143.0
Aspergillus_wentii,1.0,0.9811320754716981,0.9904761904761905,53.0
Asteromyces_cruciatus,0.9180327868852459,0.9655172413793104,0.9411764705882353,58.0
Aureobasidium_melanogenum,1.0,0.9827586206896551,0.991304347826087,58.0
Aureobasidium_pullulans,0.92,0.8070175438596491,0.8598130841121495,57.0
Byssochlamys_spectabilis,0.875,0.9655172413793104,0.9180327868852459,58.0
Cladosporium,1.0,1.0,1.0,115.0
Cladosporium_delicatulum,0.9508196721311475,1.0,0.9747899159663865,58.0
Cladosporium_tenuissimum,0.8507462686567164,1.0,0.9193548387096774,57.0
Cladosporium_varians,1.0,0.9655172413793104,0.9824561403508771,58.0
Drechslera,1.0,0.9122807017543859,0.9541284403669725,57.0
Epicoccum_nigrum,1.0,0.8793103448275862,0.9357798165137615,116.0
Fusarium_acuminatum,0.8478260869565217,0.6842105263157895,0.7572815533980582,57.0
Fusarium_chlamydosporum,1.0,0.9310344827586207,0.9642857142857143,58.0
Fusarium_equiseti,0.8571428571428571,0.8421052631578947,0.8495575221238938,57.0
Fusarium_foetens,0.8059701492537313,0.9310344827586207,0.864,58.0
Fusarium_tricinctum,0.9819819819819819,0.9478260869565217,0.9646017699115044,115.0
Hamigera_avellanea,1.0,0.9310344827586207,0.9642857142857143,58.0
Hamigera_avellanea var. alba,1.0,1.0,1.0,57.0
Hypocrea_pulvinata,1.0,0.8869565217391304,0.9400921658986175,115.0
Hypocrea_sulphurea,0.6444444444444445,1.0,0.7837837837837838,58.0
Hypocrea_thelephoricola,1.0,1.0,1.0,58.0
Mariannaea_elegans,1.0,0.7719298245614035,0.8712871287128713,57.0
Microdochium_nivale,1.0,0.7586206896551724,0.8627450980392157,58.0
Monascus_ruber,1.0,0.9824561403508771,0.9911504424778761,57.0
Monilinia_fructigena,0.9464285714285714,0.9137931034482759,0.9298245614035088,58.0
Nigrospora_oryzae,0.9591836734693877,0.815028901734104,0.88125,173.0
Paecilomyces_maximus,0.9060402684563759,0.9712230215827338,0.9375,139.0
Penicillago_kabunica,0.9622641509433962,0.8947368421052632,0.9272727272727272,57.0
Penicilliopsis_zonata,0.7945205479452054,1.0,0.8854961832061069,58.0
Penicillium restrictum,1.0,0.7931034482758621,0.8846153846153846,58.0
Penicillium_allii-sativi,0.9473684210526315,0.9473684210526315,0.9473684210526315,57.0
Penicillium_antarcticum,0.6206896551724138,1.0,0.7659574468085106,54.0
Penicillium_arizonense,0.8490566037735849,1.0,0.9183673469387755,45.0
Penicillium_atramentosum,0.95,1.0,0.9743589743589743,57.0
Penicillium_brasilianum,0.6571428571428571,0.7931034482758621,0.71875,58.0
Penicillium_camponotum,0.9464285714285714,1.0,0.9724770642201835,53.0
Penicillium_canescens,0.9418604651162791,0.7043478260869566,0.8059701492537313,115.0
Penicillium_caseifulvum,0.9354838709677419,0.8787878787878788,0.90625,33.0
Penicillium_chrysogenum,0.7916666666666666,1.0,0.8837209302325582,57.0
Penicillium_citrinum,0.8656716417910447,1.0,0.928,58.0
Penicillium_coprobium,1.0,0.6470588235294118,0.7857142857142857,34.0
Penicillium_croceum,1.0,0.8596491228070176,0.9245283018867925,57.0
Penicillium_damascenum,0.7571428571428571,0.9137931034482759,0.828125,58.0
Penicillium_fagi,0.9885057471264368,0.9555555555555556,0.9717514124293786,90.0
Penicillium_flavigenum,1.0,0.9122807017543859,0.9541284403669725,57.0
Penicillium_frequentans,0.9428571428571428,1.0,0.9705882352941176,33.0
Penicillium_glabrum,1.0,0.9081632653061225,0.9518716577540107,98.0
