Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
ResNet,1,0,0.6408,1.4347,0.3387,0.8880
ResNet,1,1,0.9349,0.2155,0.1261,0.9596
ResNet,1,2,0.9703,0.1046,0.0502,0.9877
ResNet,1,3,0.9952,0.0219,0.0053,0.9990
ResNet,1,4,0.9986,0.0075,0.0038,0.9995
ResNet,1,5,0.9995,0.0046,0.0032,0.9995
ResNet,1,6,0.9994,0.0038,0.0030,0.9995
ResNet,1,7,0.9996,0.0032,0.0029,0.9995
ResNet,1,8,0.9993,0.0040,0.0031,0.9993
ResNet,1,9,0.9994,0.0033,0.0028,0.9995
ResNet,2,0,0.6222,1.4812,0.3580,0.8888
ResNet,2,1,0.9306,0.2295,0.0784,0.9748
ResNet,2,2,0.9681,0.1142,0.0796,0.9741
ResNet,2,3,0.9944,0.0238,0.0037,0.9998
ResNet,2,4,0.9982,0.0090,0.0028,0.9995
ResNet,2,5,0.9989,0.0055,0.0019,0.9998
ResNet,2,6,0.9994,0.0041,0.0017,0.9998
ResNet,2,7,0.9991,0.0046,0.0017,0.9998
ResNet,2,8,0.9995,0.0037,0.0016,0.9998
ResNet,2,9,0.9990,0.0047,0.0017,0.9995
ResNet,3,0,0.6292,1.4700,0.3464,0.8974
ResNet,3,1,0.9349,0.2243,0.1516,0.9534
ResNet,3,2,0.9646,0.1217,0.0856,0.9736
ResNet,3,3,0.9931,0.0281,0.0072,0.9980
ResNet,3,4,0.9984,0.0085,0.0046,0.9988
ResNet,3,5,0.9992,0.0047,0.0045,0.9988
ResNet,3,6,0.9994,0.0041,0.0042,0.9990
ResNet,3,7,0.9996,0.0043,0.0041,0.9988
ResNet,3,8,0.9994,0.0040,0.0042,0.9990
ResNet,3,9,0.9994,0.0036,0.0040,0.9988
ResNet,4,0,0.6368,1.4352,0.2622,0.9230
ResNet,4,1,0.9378,0.2135,0.1268,0.9662
ResNet,4,2,0.9634,0.1320,0.0807,0.9783
ResNet,4,3,0.9930,0.0278,0.0059,0.9988
ResNet,4,4,0.9985,0.0078,0.0022,0.9995
ResNet,4,5,0.9991,0.0054,0.0019,0.9995
ResNet,4,6,0.9992,0.0045,0.0020,0.9995
ResNet,4,7,0.9994,0.0043,0.0018,0.9995
ResNet,4,8,0.9991,0.0038,0.0018,0.9995
ResNet,4,9,0.9993,0.0038,0.0019,0.9995
ResNet,5,0,0.6345,1.4511,0.3365,0.8957
ResNet,5,1,0.9340,0.2267,0.1173,0.9637
ResNet,5,2,0.9653,0.1184,0.0579,0.9867
ResNet,5,3,0.9935,0.0255,0.0042,0.9993
ResNet,5,4,0.9983,0.0092,0.0024,0.9995
ResNet,5,5,0.9986,0.0058,0.0014,1.0000
ResNet,5,6,0.9994,0.0044,0.0015,0.9998
ResNet,5,7,0.9998,0.0032,0.0012,1.0000
ResNet,5,8,0.9993,0.0040,0.0014,0.9998
ResNet,5,9,0.9992,0.0041,0.0014,1.0000
