Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
ResNet,1,0,0.3863,2.5510,1.5214,0.5690
ResNet,1,1,0.7740,0.7742,0.5719,0.8378
ResNet,1,2,0.8975,0.3397,0.2338,0.9284
ResNet,1,3,0.9695,0.1158,0.0472,0.9876
ResNet,1,4,0.9892,0.0452,0.0258,0.9935
ResNet,1,5,0.9929,0.0321,0.0223,0.9953
ResNet,1,6,0.9957,0.0226,0.0211,0.9953
ResNet,1,7,0.9973,0.0208,0.0201,0.9953
ResNet,1,8,0.9966,0.0203,0.0193,0.9964
ResNet,1,9,0.9984,0.0170,0.0189,0.9959
ResNet,2,0,0.3863,2.5685,1.2854,0.6394
ResNet,2,1,0.7854,0.7389,0.4736,0.8555
ResNet,2,2,0.8801,0.4013,0.4172,0.8709
ResNet,2,3,0.9728,0.1119,0.0755,0.9816
ResNet,2,4,0.9904,0.0430,0.0570,0.9864
ResNet,2,5,0.9954,0.0267,0.0418,0.9911
ResNet,2,6,0.9975,0.0187,0.0400,0.9911
ResNet,2,7,0.9964,0.0211,0.0392,0.9905
ResNet,2,8,0.9967,0.0191,0.0375,0.9929
ResNet,2,9,0.9975,0.0203,0.0374,0.9935
ResNet,3,0,0.3691,2.6205,1.1910,0.6754
ResNet,3,1,0.7729,0.7837,0.4247,0.8709
ResNet,3,2,0.8916,0.3583,0.2721,0.9236
ResNet,3,3,0.9676,0.1184,0.0537,0.9870
ResNet,3,4,0.9916,0.0441,0.0409,0.9899
ResNet,3,5,0.9951,0.0260,0.0330,0.9917
ResNet,3,6,0.9959,0.0208,0.0321,0.9905
ResNet,3,7,0.9970,0.0198,0.0321,0.9905
ResNet,3,8,0.9969,0.0188,0.0334,0.9905
ResNet,3,9,0.9966,0.0200,0.0320,0.9905
ResNet,4,0,0.3622,2.6540,1.6112,0.5664
ResNet,4,1,0.7677,0.7870,0.4279,0.8566
ResNet,4,2,0.8855,0.3764,0.3865,0.8774
ResNet,4,3,0.9655,0.1294,0.0555,0.9846
ResNet,4,4,0.9910,0.0469,0.0404,0.9899
ResNet,4,5,0.9941,0.0309,0.0311,0.9911
ResNet,4,6,0.9954,0.0256,0.0291,0.9929
ResNet,4,7,0.9960,0.0213,0.0277,0.9935
ResNet,4,8,0.9960,0.0222,0.0254,0.9941
ResNet,4,9,0.9972,0.0186,0.0258,0.9953
ResNet,5,0,0.3904,2.5489,1.2100,0.6700
ResNet,5,1,0.7831,0.7392,0.4591,0.8620
ResNet,5,2,0.9017,0.3380,0.3157,0.8940
ResNet,5,3,0.9702,0.1084,0.0666,0.9822
ResNet,5,4,0.9939,0.0354,0.0466,0.9887
ResNet,5,5,0.9956,0.0261,0.0412,0.9917
ResNet,5,6,0.9972,0.0200,0.0392,0.9917
ResNet,5,7,0.9959,0.0204,0.0378,0.9923
ResNet,5,8,0.9964,0.0193,0.0366,0.9917
ResNet,5,9,0.9981,0.0165,0.0372,0.9923
