,precision,recall,f1-score,support
Acremonium,0.8,0.6666666666666666,0.7272727272727273,12.0
Acremonium_alternatum,0.6666666666666666,0.8333333333333334,0.7407407407407407,12.0
Acremonium_strictum,0.5238095238095238,0.9166666666666666,0.6666666666666666,12.0
Alternaria,0.3333333333333333,0.25,0.2857142857142857,12.0
Arthrinium_phaeospermum,0.8181818181818182,0.75,0.782608695652174,12.0
Ascospirella_lutea,1.0,0.25,0.4,12.0
Aspergillus,0.17777777777777778,0.6666666666666666,0.2807017543859649,12.0
Aspergillus_aculeatinus,0.9166666666666666,1.0,0.9565217391304348,11.0
Aspergillus_arachidicola,0.9230769230769231,1.0,0.96,12.0
Aspergillus_calidoustus,1.0,0.4166666666666667,0.5882352941176471,12.0
Aspergillus_creber,1.0,0.4166666666666667,0.5882352941176471,12.0
Aspergillus_flavus,0.6470588235294118,0.9166666666666666,0.7586206896551724,24.0
Aspergillus_lentulus,0.34782608695652173,0.8,0.48484848484848486,10.0
Aspergillus_minisclerotigenes,1.0,0.5833333333333334,0.7368421052631579,12.0
Aspergillus_montevidensis,1.0,1.0,1.0,12.0
Aspergillus_neoglaber,0.3684210526315789,0.5833333333333334,0.45161290322580644,12.0
Aspergillus_nomiae,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
Aspergillus_occultus,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
Aspergillus_pseudonomiae,0.6,1.0,0.75,12.0
Aspergillus_puniceus,0.75,0.25,0.375,12.0
Aspergillus_thermomutatus,0.7777777777777778,0.7,0.7368421052631579,10.0
Aspergillus_ustus,1.0,0.5454545454545454,0.7058823529411765,11.0
Aspergillus_uvarum,0.8571428571428571,1.0,0.9230769230769231,30.0
Aspergillus_wentii,0.6428571428571429,0.8181818181818182,0.72,11.0
Asteromyces_cruciatus,0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0
Aureobasidium_melanogenum,0.8,1.0,0.8888888888888888,12.0
Aureobasidium_pullulans,0.0,0.0,0.0,12.0
Byssochlamys_spectabilis,0.25,0.08333333333333333,0.125,12.0
Cladosporium,0.7058823529411765,1.0,0.8275862068965517,24.0
Cladosporium_delicatulum,1.0,0.3333333333333333,0.5,12.0
Cladosporium_tenuissimum,1.0,0.3333333333333333,0.5,12.0
Cladosporium_varians,0.5,0.5833333333333334,0.5384615384615384,12.0
Drechslera,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0
Epicoccum_nigrum,0.875,0.2916666666666667,0.4375,24.0
Fusarium_acuminatum,0.0,0.0,0.0,12.0
Fusarium_chlamydosporum,0.5238095238095238,0.9166666666666666,0.6666666666666666,12.0
Fusarium_equiseti,0.5384615384615384,0.5833333333333334,0.56,12.0
Fusarium_foetens,0.375,0.5,0.42857142857142855,12.0
Fusarium_tricinctum,0.6764705882352942,0.9583333333333334,0.7931034482758621,24.0
Hamigera_avellanea,1.0,0.4166666666666667,0.5882352941176471,12.0
Hamigera_avellanea var. alba,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
Hypocrea_pulvinata,0.76,0.7916666666666666,0.7755102040816326,24.0
Hypocrea_sulphurea,0.9230769230769231,1.0,0.96,12.0
Hypocrea_thelephoricola,1.0,0.9166666666666666,0.9565217391304348,12.0
Mariannaea_elegans,1.0,0.8333333333333334,0.9090909090909091,12.0
Microdochium_nivale,1.0,0.8333333333333334,0.9090909090909091,12.0
Monascus_ruber,1.0,0.6666666666666666,0.8,12.0
Monilinia_fructigena,0.2857142857142857,0.3333333333333333,0.3076923076923077,12.0
Nigrospora_oryzae,0.5227272727272727,0.6388888888888888,0.575,36.0
Paecilomyces_maximus,0.46511627906976744,0.6896551724137931,0.5555555555555556,29.0
Penicillago_kabunica,0.4,1.0,0.5714285714285714,12.0
Penicilliopsis_zonata,1.0,0.3333333333333333,0.5,12.0
Penicillium restrictum,0.3076923076923077,0.3333333333333333,0.32,12.0
Penicillium_allii-sativi,0.6666666666666666,0.8333333333333334,0.7407407407407407,12.0
Penicillium_antarcticum,1.0,0.45454545454545453,0.625,11.0
Penicillium_arizonense,1.0,0.2222222222222222,0.36363636363636365,9.0
Penicillium_atramentosum,0.35294117647058826,0.5,0.41379310344827586,12.0
Penicillium_brasilianum,0.32142857142857145,0.75,0.45,12.0
Penicillium_camponotum,1.0,0.6363636363636364,0.7777777777777778,11.0
Penicillium_canescens,0.42,0.875,0.5675675675675675,24.0
Penicillium_caseifulvum,0.0,0.0,0.0,7.0
Penicillium_chrysogenum,0.7058823529411765,1.0,0.8275862068965517,12.0
Penicillium_citrinum,0.6,0.5,0.5454545454545454,12.0
Penicillium_coprobium,0.0,0.0,0.0,7.0
Penicillium_croceum,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
Penicillium_damascenum,0.5,0.6666666666666666,0.5714285714285714,12.0
Penicillium_fagi,0.5517241379310345,0.8,0.6530612244897959,20.0
Penicillium_flavigenum,0.4444444444444444,0.6666666666666666,0.5333333333333333,12.0
Penicillium_frequentans,0.6363636363636364,1.0,0.7777777777777778,7.0
Penicillium_glabrum,0.72,0.9,0.8,20.0
Penicillium_griseopurpureum,1.0,0.42857142857142855,0.6,7.0
Penicillium_hordei,0.23076923076923078,0.5,0.3157894736842105,12.0
