Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
ResNet,1,0,0.7871,0.8146,0.1799,0.9520
ResNet,1,1,0.9686,0.1132,0.1456,0.9654
ResNet,1,2,0.9821,0.0664,0.0517,0.9862
ResNet,1,3,0.9975,0.0112,0.0010,0.9999
ResNet,1,4,0.9995,0.0028,0.0005,1.0000
ResNet,1,5,0.9996,0.0018,0.0004,0.9999
ResNet,1,6,0.9998,0.0016,0.0003,1.0000
ResNet,1,7,0.9998,0.0013,0.0003,1.0000
ResNet,1,8,0.9997,0.0017,0.0003,1.0000
ResNet,1,9,0.9998,0.0012,0.0003,1.0000
ResNet,2,0,0.7853,0.8413,0.1374,0.9535
ResNet,2,1,0.9700,0.1057,0.0471,0.9861
ResNet,2,2,0.9805,0.0730,0.0464,0.9841
ResNet,2,3,0.9976,0.0108,0.0009,0.9998
ResNet,2,4,0.9994,0.0029,0.0006,1.0000
ResNet,2,5,0.9997,0.0019,0.0004,1.0000
ResNet,2,6,0.9996,0.0018,0.0004,1.0000
ResNet,2,7,0.9995,0.0017,0.0004,1.0000
ResNet,2,8,0.9997,0.0016,0.0004,1.0000
ResNet,2,9,0.9998,0.0013,0.0004,1.0000
ResNet,3,0,0.7786,0.8537,0.4892,0.8804
ResNet,3,1,0.9714,0.1046,0.1165,0.9650
ResNet,3,2,0.9831,0.0638,0.0632,0.9840
ResNet,3,3,0.9975,0.0121,0.0008,0.9999
ResNet,3,4,0.9994,0.0030,0.0004,1.0000
ResNet,3,5,0.9996,0.0022,0.0002,1.0000
ResNet,3,6,0.9998,0.0013,0.0002,1.0000
ResNet,3,7,0.9998,0.0014,0.0002,1.0000
ResNet,3,8,0.9998,0.0012,0.0002,1.0000
ResNet,3,9,0.9999,0.0013,0.0002,1.0000
ResNet,4,0,0.7904,0.8106,0.1272,0.9632
ResNet,4,1,0.9663,0.1167,0.0513,0.9859
ResNet,4,2,0.9833,0.0597,0.0270,0.9911
ResNet,4,3,0.9978,0.0088,0.0006,1.0000
ResNet,4,4,0.9996,0.0028,0.0003,1.0000
ResNet,4,5,0.9997,0.0016,0.0002,1.0000
ResNet,4,6,0.9998,0.0013,0.0002,1.0000
ResNet,4,7,0.9999,0.0012,0.0002,1.0000
ResNet,4,8,0.9999,0.0012,0.0002,1.0000
ResNet,4,9,0.9997,0.0016,0.0002,1.0000
ResNet,5,0,0.7890,0.8121,0.1462,0.9558
ResNet,5,1,0.9685,0.1100,0.0897,0.9788
ResNet,5,2,0.9807,0.0707,0.0378,0.9889
ResNet,5,3,0.9981,0.0106,0.0010,1.0000
ResNet,5,4,0.9993,0.0040,0.0004,1.0000
ResNet,5,5,0.9996,0.0025,0.0003,1.0000
ResNet,5,6,0.9996,0.0019,0.0003,1.0000
ResNet,5,7,0.9998,0.0015,0.0003,1.0000
ResNet,5,8,0.9999,0.0011,0.0003,1.0000
ResNet,5,9,0.9998,0.0012,0.0003,1.0000
