Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
VisionTransformer,1,0,0.0413,4.4846,4.0084,0.0737
VisionTransformer,1,1,0.1044,3.7017,3.0651,0.2002
VisionTransformer,1,2,0.2038,2.9797,2.4433,0.3186
VisionTransformer,1,3,0.3503,2.2623,1.8768,0.4713
VisionTransformer,1,4,0.4223,1.9747,1.6769,0.5216
VisionTransformer,1,5,0.4752,1.7734,1.4882,0.5716
VisionTransformer,1,6,0.5349,1.5870,1.3844,0.6158
VisionTransformer,1,7,0.5521,1.5392,1.3504,0.6316
VisionTransformer,1,8,0.5647,1.5082,1.3273,0.6400
VisionTransformer,1,9,0.5712,1.4852,1.3202,0.6397
VisionTransformer,2,0,0.0366,4.4880,4.0438,0.0762
VisionTransformer,2,1,0.0950,3.8225,3.2586,0.1731
VisionTransformer,2,2,0.1854,3.0939,2.6755,0.2540
VisionTransformer,2,3,0.3309,2.3997,2.0433,0.4313
VisionTransformer,2,4,0.4045,2.0818,1.7784,0.4974
VisionTransformer,2,5,0.4566,1.8703,1.6040,0.5554
VisionTransformer,2,6,0.5150,1.6721,1.4938,0.5896
VisionTransformer,2,7,0.5378,1.6164,1.4612,0.6005
VisionTransformer,2,8,0.5409,1.5945,1.4302,0.6121
VisionTransformer,2,9,0.5495,1.5727,1.4278,0.6131
VisionTransformer,3,0,0.0368,4.5169,4.0724,0.0651
VisionTransformer,3,1,0.1051,3.7323,3.0965,0.1904
VisionTransformer,3,2,0.2174,2.9156,2.4091,0.3202
VisionTransformer,3,3,0.3969,2.1427,1.7956,0.4998
VisionTransformer,3,4,0.4724,1.8279,1.4977,0.5831
VisionTransformer,3,5,0.5453,1.5666,1.2667,0.6532
VisionTransformer,3,6,0.6152,1.3610,1.1848,0.6907
VisionTransformer,3,7,0.6353,1.3024,1.1479,0.7037
VisionTransformer,3,8,0.6436,1.2822,1.1203,0.7126
VisionTransformer,3,9,0.6551,1.2503,1.1150,0.7163
VisionTransformer,4,0,0.0317,4.5578,4.3009,0.0439
VisionTransformer,4,1,0.0811,3.9626,3.3662,0.1621
VisionTransformer,4,2,0.1753,3.1472,2.6034,0.2731
VisionTransformer,4,3,0.3201,2.4251,2.0461,0.4369
VisionTransformer,4,4,0.4014,2.1120,1.7565,0.5086
VisionTransformer,4,5,0.4657,1.8528,1.4732,0.5950
VisionTransformer,4,6,0.5348,1.6314,1.3980,0.6337
VisionTransformer,4,7,0.5587,1.5742,1.3691,0.6416
VisionTransformer,4,8,0.5692,1.5311,1.3215,0.6527
VisionTransformer,4,9,0.5739,1.5182,1.3179,0.6544
VisionTransformer,5,0,0.0417,4.4421,3.9080,0.0797
VisionTransformer,5,1,0.1226,3.5916,2.9029,0.2235
VisionTransformer,5,2,0.2344,2.8322,2.3580,0.3189
VisionTransformer,5,3,0.4103,2.0664,1.6935,0.5222
VisionTransformer,5,4,0.4904,1.7607,1.4445,0.5989
VisionTransformer,5,5,0.5527,1.5469,1.2247,0.6569
VisionTransformer,5,6,0.6152,1.3574,1.1709,0.6894
VisionTransformer,5,7,0.6287,1.3136,1.1363,0.7035
VisionTransformer,5,8,0.6372,1.2882,1.1086,0.7114
VisionTransformer,5,9,0.6418,1.2747,1.1057,0.7119
