Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
VisionTransformer,1,0,0.0345,4.6797,4.3985,0.0468
VisionTransformer,1,1,0.0449,4.4226,4.1125,0.0663
VisionTransformer,1,2,0.0714,4.0285,3.6179,0.1279
VisionTransformer,1,3,0.1256,3.5641,3.3314,0.1747
VisionTransformer,1,4,0.1629,3.3389,3.2136,0.1889
VisionTransformer,1,5,0.1857,3.1769,3.0094,0.2173
VisionTransformer,1,6,0.2163,3.0445,2.9743,0.2279
VisionTransformer,1,7,0.2181,3.0311,2.9548,0.2315
VisionTransformer,1,8,0.2223,2.9916,2.9418,0.2362
VisionTransformer,1,9,0.2238,2.9918,2.9345,0.2333
VisionTransformer,2,0,0.0272,4.7061,4.4372,0.0580
VisionTransformer,2,1,0.0400,4.4663,4.2119,0.0616
VisionTransformer,2,2,0.0641,4.1482,3.8206,0.1072
VisionTransformer,2,3,0.1019,3.7683,3.5837,0.1356
VisionTransformer,2,4,0.1245,3.5669,3.4314,0.1522
VisionTransformer,2,5,0.1451,3.3946,3.2548,0.1747
VisionTransformer,2,6,0.1725,3.2294,3.1939,0.1829
VisionTransformer,2,7,0.1731,3.2063,3.1717,0.1930
VisionTransformer,2,8,0.1787,3.1873,3.1456,0.2007
VisionTransformer,2,9,0.1807,3.1719,3.1428,0.2037
VisionTransformer,3,0,0.0287,4.6868,4.3868,0.0521
VisionTransformer,3,1,0.0449,4.4018,4.1387,0.0563
VisionTransformer,3,2,0.0640,4.1071,3.7765,0.1049
VisionTransformer,3,3,0.0998,3.7546,3.5788,0.1321
VisionTransformer,3,4,0.1214,3.5935,3.4101,0.1570
VisionTransformer,3,5,0.1355,3.4565,3.2844,0.1831
VisionTransformer,3,6,0.1556,3.3274,3.2435,0.1842
VisionTransformer,3,7,0.1571,3.3117,3.2251,0.1902
VisionTransformer,3,8,0.1652,3.2768,3.2089,0.1908
VisionTransformer,3,9,0.1657,3.2769,3.2062,0.1902
VisionTransformer,4,0,0.0315,4.7065,4.4585,0.0450
VisionTransformer,4,1,0.0472,4.4076,4.1048,0.0752
VisionTransformer,4,2,0.0677,4.0923,3.9146,0.0782
VisionTransformer,4,3,0.0955,3.7813,3.5709,0.1339
VisionTransformer,4,4,0.1278,3.5878,3.4104,0.1398
VisionTransformer,4,5,0.1421,3.4228,3.2762,0.1659
VisionTransformer,4,6,0.1601,3.3000,3.2116,0.1700
VisionTransformer,4,7,0.1632,3.2745,3.1929,0.1700
VisionTransformer,4,8,0.1664,3.2459,3.1748,0.1783
VisionTransformer,4,9,0.1777,3.2339,3.1741,0.1783
VisionTransformer,5,0,0.0275,4.6769,4.4208,0.0403
VisionTransformer,5,1,0.0397,4.4554,4.1941,0.0575
VisionTransformer,5,2,0.0620,4.1508,3.7910,0.1120
VisionTransformer,5,3,0.0961,3.8202,3.5994,0.1428
VisionTransformer,5,4,0.1171,3.6589,3.4185,0.1665
VisionTransformer,5,5,0.1358,3.5112,3.3023,0.1925
VisionTransformer,5,6,0.1498,3.4027,3.2330,0.1919
VisionTransformer,5,7,0.1531,3.3653,3.1922,0.2014
VisionTransformer,5,8,0.1621,3.3360,3.1718,0.1996
VisionTransformer,5,9,0.1646,3.3294,3.1728,0.2032
