Model,Fold,Epoch,Class,Precision,Recall,F1-Score,Support
vit_b_16,1,0,Acremonium,0.0,0.0,0.0,58.0
vit_b_16,1,0,Acremonium_alternatum,0.0,0.0,0.0,58.0
vit_b_16,1,0,Acremonium_strictum,0.0,0.0,0.0,57.0
vit_b_16,1,0,Alternaria,0.06,0.05172413793103448,0.05555555555555555,58.0
vit_b_16,1,0,Arthrinium_phaeospermum,0.38461538461538464,0.5263157894736842,0.4444444444444444,57.0
vit_b_16,1,0,Ascospirella_lutea,0.0,0.0,0.0,58.0
vit_b_16,1,0,Aspergillus,0.0,0.0,0.0,58.0
vit_b_16,1,0,Aspergillus_aculeatinus,0.3246753246753247,0.4716981132075472,0.38461538461538464,53.0
vit_b_16,1,0,Aspergillus_arachidicola,0.4,0.20689655172413793,0.2727272727272727,58.0
vit_b_16,1,0,Aspergillus_calidoustus,0.0,0.0,0.0,57.0
vit_b_16,1,0,Aspergillus_creber,0.08484848484848485,0.2413793103448276,0.12556053811659193,58.0
vit_b_16,1,0,Aspergillus_flavus,0.029850746268656716,0.017391304347826087,0.02197802197802198,115.0
vit_b_16,1,0,Aspergillus_lentulus,0.1,0.02040816326530612,0.03389830508474576,49.0
vit_b_16,1,0,Aspergillus_minisclerotigenes,0.1044776119402985,0.49122807017543857,0.1723076923076923,57.0
vit_b_16,1,0,Aspergillus_montevidensis,0.16666666666666666,0.034482758620689655,0.05714285714285714,58.0
vit_b_16,1,0,Aspergillus_neoglaber,0.22807017543859648,0.22413793103448276,0.22608695652173913,58.0
vit_b_16,1,0,Aspergillus_nomiae,0.0,0.0,0.0,57.0
vit_b_16,1,0,Aspergillus_occultus,0.0,0.0,0.0,58.0
vit_b_16,1,0,Aspergillus_pseudonomiae,0.014925373134328358,0.017857142857142856,0.016260162601626018,56.0
vit_b_16,1,0,Aspergillus_puniceus,0.0,0.0,0.0,57.0
vit_b_16,1,0,Aspergillus_thermomutatus,0.0,0.0,0.0,49.0
vit_b_16,1,0,Aspergillus_ustus,0.0,0.0,0.0,54.0
vit_b_16,1,0,Aspergillus_uvarum,0.7560975609756098,0.21678321678321677,0.33695652173913043,143.0
vit_b_16,1,0,Aspergillus_wentii,0.0,0.0,0.0,53.0
vit_b_16,1,0,Asteromyces_cruciatus,0.0,0.0,0.0,58.0
vit_b_16,1,0,Aureobasidium_melanogenum,0.07615230460921844,0.6666666666666666,0.1366906474820144,57.0
vit_b_16,1,0,Aureobasidium_pullulans,0.0,0.0,0.0,58.0
vit_b_16,1,0,Byssochlamys_spectabilis,0.0,0.0,0.0,58.0
vit_b_16,1,0,Cladosporium,0.23880597014925373,0.2782608695652174,0.2570281124497992,115.0
vit_b_16,1,0,Cladosporium_delicatulum,0.0,0.0,0.0,57.0
vit_b_16,1,0,Cladosporium_tenuissimum,0.0,0.0,0.0,58.0
vit_b_16,1,0,Cladosporium_varians,0.0,0.0,0.0,58.0
vit_b_16,1,0,Drechslera,0.0,0.0,0.0,57.0
vit_b_16,1,0,Epicoccum_nigrum,0.0,0.0,0.0,115.0
vit_b_16,1,0,Fusarium_acuminatum,0.0,0.0,0.0,58.0
vit_b_16,1,0,Fusarium_chlamydosporum,0.0,0.0,0.0,58.0
vit_b_16,1,0,Fusarium_equiseti,0.1206896551724138,0.12280701754385964,0.12173913043478261,57.0
