Model,Fold,Epoch,Accuracy,Loss,Val Loss,Val Accuracy
VisionTransformer,1,0,0.0629,4.1954,3.3168,0.1489
VisionTransformer,1,1,0.2157,2.9216,2.1868,0.3723
VisionTransformer,1,2,0.4157,1.9682,1.3364,0.5864
VisionTransformer,1,3,0.7018,1.0095,0.6432,0.8227
VisionTransformer,1,4,0.7900,0.7258,0.4842,0.8744
VisionTransformer,1,5,0.8375,0.5631,0.3575,0.9058
VisionTransformer,1,6,0.8757,0.4410,0.3120,0.9225
VisionTransformer,1,7,0.8859,0.4178,0.2919,0.9284
VisionTransformer,1,8,0.8930,0.3949,0.2744,0.9358
VisionTransformer,1,9,0.8936,0.3851,0.2761,0.9348
VisionTransformer,2,0,0.0694,4.1752,3.3985,0.1557
VisionTransformer,2,1,0.2276,2.8885,2.3439,0.3437
VisionTransformer,2,2,0.4463,1.8632,1.2714,0.6130
VisionTransformer,2,3,0.7314,0.9136,0.5968,0.8485
VisionTransformer,2,4,0.8122,0.6532,0.4193,0.8924
VisionTransformer,2,5,0.8556,0.5080,0.3050,0.9244
VisionTransformer,2,6,0.8931,0.3986,0.2660,0.9336
VisionTransformer,2,7,0.9014,0.3731,0.2617,0.9336
VisionTransformer,2,8,0.9052,0.3552,0.2469,0.9385
VisionTransformer,2,9,0.9124,0.3381,0.2446,0.9403
VisionTransformer,3,0,0.0701,4.1376,3.3412,0.1720
VisionTransformer,3,1,0.2434,2.7729,1.9479,0.4113
VisionTransformer,3,2,0.4751,1.7437,1.1716,0.6359
VisionTransformer,3,3,0.7660,0.7888,0.5111,0.8665
VisionTransformer,3,4,0.8426,0.5438,0.3634,0.9040
VisionTransformer,3,5,0.8839,0.4113,0.2749,0.9281
VisionTransformer,3,6,0.9141,0.3173,0.2290,0.9478
VisionTransformer,3,7,0.9244,0.2912,0.2172,0.9504
VisionTransformer,3,8,0.9259,0.2796,0.2098,0.9521
VisionTransformer,3,9,0.9285,0.2760,0.2056,0.9537
VisionTransformer,4,0,0.0758,4.0867,3.1402,0.1797
VisionTransformer,4,1,0.2633,2.6980,1.9531,0.4153
VisionTransformer,4,2,0.4975,1.6822,1.0991,0.6578
VisionTransformer,4,3,0.7717,0.7881,0.4907,0.8734
VisionTransformer,4,4,0.8408,0.5648,0.3717,0.9002
VisionTransformer,4,5,0.8785,0.4363,0.2796,0.9234
VisionTransformer,4,6,0.9062,0.3442,0.2307,0.9456
VisionTransformer,4,7,0.9144,0.3230,0.2212,0.9468
VisionTransformer,4,8,0.9155,0.3143,0.2133,0.9471
VisionTransformer,4,9,0.9214,0.3004,0.2110,0.9483
VisionTransformer,5,0,0.0714,4.1267,3.2347,0.1641
VisionTransformer,5,1,0.2687,2.6507,1.9197,0.4397
VisionTransformer,5,2,0.4906,1.6954,1.1120,0.6517
VisionTransformer,5,3,0.7587,0.8188,0.5038,0.8671
VisionTransformer,5,4,0.8327,0.5805,0.3684,0.9041
VisionTransformer,5,5,0.8716,0.4493,0.2641,0.9299
VisionTransformer,5,6,0.9047,0.3441,0.2309,0.9453
VisionTransformer,5,7,0.9107,0.3278,0.2215,0.9482
VisionTransformer,5,8,0.9155,0.3123,0.2157,0.9489
VisionTransformer,5,9,0.9177,0.3047,0.2098,0.9511
