epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.3713,4.63927,0.0258,0.15326,4.6263,0.07921,0.00021,0.00021
2,22.747,3.80338,0.18816,0.43247,3.56445,0.0574087,0.000408715,0.000408715
3,28.7044,2.82353,0.28983,0.60091,3.01107,0.0355857,0.00058565,0.00058565
4,35.7878,2.23548,0.33991,0.62822,2.8151,0.0137408,0.000740805,0.000740805
5,42.7978,1.84647,0.46889,0.75417,2.23242,0.000802,0.000802,0.000802
6,49.8471,1.57553,0.45524,0.71472,2.36914,0.0007525,0.0007525,0.0007525
7,55.3247,1.33653,0.54628,0.79363,2.01465,0.000703,0.000703,0.000703
8,62.505,1.15295,0.57815,0.82094,1.91504,0.0006535,0.0006535,0.0006535
9,69.6379,1.00112,0.63429,0.83763,1.70508,0.000604,0.000604,0.000604
10,76.5253,0.88056,0.62822,0.8695,1.69857,0.0005545,0.0005545,0.0005545
11,85.7575,0.78955,0.69044,0.88467,1.44466,0.000505,0.000505,0.000505
12,92.8725,0.69913,0.7041,0.88316,1.43327,0.0004555,0.0004555,0.0004555
13,99.4781,0.64387,0.70106,0.8786,1.49154,0.000406,0.000406,0.000406
14,105.332,0.56052,0.74203,0.88923,1.43164,0.0003565,0.0003565,0.0003565
15,112.361,0.5103,0.74203,0.88771,1.42643,0.000307,0.000307,0.000307
16,119.39,0.48199,0.77238,0.8953,1.29492,0.0002575,0.0002575,0.0002575
17,125.856,0.46751,0.76176,0.8953,1.36361,0.000208,0.000208,0.000208
18,131.806,0.38948,0.783,0.89681,1.27604,0.0001585,0.0001585,0.0001585
19,138.718,0.38514,0.77086,0.89681,1.3278,0.000109,0.000109,0.000109
20,145.829,0.3608,0.78452,0.89833,1.27441,5.95e-05,5.95e-05,5.95e-05
