epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,149.792,4.87197,0.7106,0.90523,1.39339,0.00333016,0.00333016,0.00333016
2,295.747,0.95965,0.89029,0.96855,0.45538,0.00633365,0.00633365,0.00633365
3,441.35,0.60523,0.85824,0.96375,0.5397,0.00900714,0.00900714,0.00900714
4,587.267,0.52981,0.95109,0.96927,0.21669,0.008515,0.008515,0.008515
5,733.319,0.3671,0.95685,0.97011,0.18823,0.00802,0.00802,0.00802
6,879.559,0.30641,0.96711,0.97041,0.15547,0.007525,0.007525,0.007525
7,1026.6,0.27775,0.96711,0.97083,0.15346,0.00703,0.00703,0.00703
8,1172.74,0.25537,0.96765,0.97089,0.14796,0.006535,0.006535,0.006535
9,1319.46,0.2353,0.96777,0.97143,0.14598,0.00604,0.00604,0.00604
10,1466.76,0.22752,0.96789,0.97077,0.14504,0.005545,0.005545,0.005545
11,1617.08,0.21887,0.96789,0.97173,0.14595,0.00505,0.00505,0.00505
12,1765.05,0.20623,0.96795,0.97155,0.14715,0.004555,0.004555,0.004555
13,1913.65,0.19665,0.96789,0.97125,0.14768,0.00406,0.00406,0.00406
14,2061.73,0.18764,0.96789,0.97137,0.14396,0.003565,0.003565,0.003565
15,2210.81,0.18108,0.96783,0.97125,0.14639,0.00307,0.00307,0.00307
16,2358.92,0.17639,0.96783,0.97125,0.1442,0.002575,0.002575,0.002575
17,2507.19,0.17093,0.96783,0.97125,0.14408,0.00208,0.00208,0.00208
18,2655.54,0.16782,0.96783,0.97125,0.1441,0.001585,0.001585,0.001585
19,2804.12,0.16495,0.96783,0.97131,0.14406,0.00109,0.00109,0.00109
20,2952.5,0.16052,0.96783,0.97125,0.14537,0.000595,0.000595,0.000595
